GRID_ID,color
KI-140,#BFBF00
KJ-140,#A3FF73
KK-140,#A3FF73
NK-140,#FF7F7F
NL-140,#C9D3FE
NM-140,#C9D3FE
NN-140,#C9D3FE
NO-140,#BFBF00
NP-140,#C9D3FE
NQ-140,#C9D3FE
NR-140,#C9D3FE
NS-140,#C9D3FE
DE-139,#FF7F7F
DF-139,#FF7F7F
DG-139,#C9D3FE
DH-139,#C9D3FE
DK-139,#C9D3FE
DL-139,#C9D3FE
DM-139,#A3FF73
DN-139,#BFBF00
DO-139,#BFBF00
FJ-139,#C9D3FE
FK-139,#A3FF73
FL-139,#C9D3FE
FM-139,#BFBF00
FN-139,#BFBF00
JX-139,#A3FF73
JY-139,#A3FF73
JZ-139,#BFBF00
KA-139,#BFBF00
KB-139,#BFBF00
KD-139,#BFBF00
KF-139,#C9D3FE
KG-139,#C9D3FE
KI-139,#C9D3FE
NK-139,#BFBF00
NN-139,#C9D3FE
NO-139,#C9D3FE
NP-139,#BFBF00
NQ-139,#C9D3FE
NR-139,#C9D3FE
NS-139,#C9D3FE
DB-138,#FF7F7F
DD-138,#FF7F7F
DE-138,#C9D3FE
DF-138,#BFBF00
DG-138,#BFBF00
DK-138,#C9D3FE
DL-138,#C9D3FE
DM-138,#A3FF73
DN-138,#BFBF00
FK-138,#C9D3FE
FL-138,#C9D3FE
FM-138,#C9D3FE
GT-138,#C9D3FE
GU-138,#A3FF73
GV-138,#A3FF73
JY-138,#A3FF73
JZ-138,#BFBF00
KA-138,#A3FF73
KB-138,#BFBF00
KC-138,#BFBF00
KD-138,#BFBF00
KE-138,#BFBF00
KF-138,#C9D3FE
NO-138,#C9D3FE
DA-137,#C9D3FE
DB-137,#BFBF00
DC-137,#BFBF00
DD-137,#C9D3FE
DE-137,#C9D3FE
DF-137,#BFBF00
DG-137,#FF7F7F
DH-137,#FF7F7F
DL-137,#C9D3FE
DM-137,#A3FF73
DN-137,#BFBF00
DP-137,#C9D3FE
DR-137,#C9D3FE
DS-137,#BFBF00
DT-137,#BFBF00
FB-137,#C9D3FE
GS-137,#A3FF73
GT-137,#BFBF00
GU-137,#BFBF00
JZ-137,#BFBF00
KA-137,#BFBF00
KB-137,#BFBF00
KC-137,#BFBF00
KD-137,#A3FF73
KE-137,#BFBF00
KF-137,#BFBF00
OX-137,#FF7F7F
CW-136,#A3FF73
CX-136,#C9D3FE
CZ-136,#A3FF73
DA-136,#C9D3FE
DB-136,#C9D3FE
DC-136,#BFBF00
DD-136,#BFBF00
DE-136,#BFBF00
DF-136,#C9D3FE
DG-136,#BFBF00
DH-136,#C9D3FE
DI-136,#BFBF00
DJ-136,#C9D3FE
DM-136,#C9D3FE
DN-136,#BFBF00
DP-136,#BFBF00
DQ-136,#BFBF00
DR-136,#BFBF00
DS-136,#BFBF00
DT-136,#BFBF00
FA-136,#C9D3FE
FB-136,#C9D3FE
FC-136,#C9D3FE
FD-136,#C9D3FE
FF-136,#C9D3FE
JY-136,#C9D3FE
JZ-136,#BFBF00
KA-136,#C9D3FE
KB-136,#BFBF00
KC-136,#C9D3FE
KD-136,#BFBF00
KE-136,#BFBF00
KF-136,#BFBF00
OV-136,#C9D3FE
OW-136,#FF7F7F
OX-136,#BFBF00
PD-136,#FF7F7F
CW-135,#C9D3FE
CX-135,#A3FF73
CZ-135,#C9D3FE
DA-135,#A3FF73
